"data";"1";"7"
2013-01-08;2,0286;61127
2013-01-09;2,0417;61578
2013-01-10;2,0358;61678
2013-01-11;2,0341;61497
2013-01-14;2,0334;62080
2013-01-15;2,0374;61727
2013-01-16;2,0409;61787
2013-01-17;2,0411;62194
2013-01-18;2,0441;61956
2013-01-21;2,042;61899
2013-01-22;2,0471;61692
2013-01-23;2,0394;61966
2013-01-24;2,0344;61169
2013-01-25;2,0285;NA
2013-01-28;2,0241;60027
2013-01-29;1,9912;60406
2013-01-30;1,99;59336
2013-01-31;1,9883;59761
2013-02-01;1,9843;60351
2013-02-04;1,9893;59575
2013-02-05;1,9881;59444
2013-02-06;1,9884;58951
2013-02-07;1,9789;58372
2013-02-08;1,9636;58497
2013-02-13;1,967;58405
2013-02-14;1,9666;58077
2013-02-15;1,96;57903
2013-02-18;1,9676;57613
2013-02-19;1,9597;57314
2013-02-20;1,957;56177
2013-02-21;1,972;56154
2013-02-22;1,9705;56697
2013-02-25;1,9676;56617
2013-02-26;1,9818;56948
2013-02-27;1,9807;57273
2013-02-28;1,9754;57424
2013-03-01;1,9848;56883
2013-03-04;1,9827;56499
2013-03-05;1,9693;55950
2013-03-06;1,9673;57940
2013-03-07;1,9642;58846
2013-03-08;1,9528;58432
2013-03-11;1,9552;58544
2013-03-12;1,9585;58208
2013-03-13;1,9619;57385
2013-03-14;1,9676;57281
2013-03-15;1,9749;56869
2013-03-18;1,9871;56972
2013-03-19;1,983;56361
2013-03-20;1,9868;56030
2013-03-21;1,9931;55576
2013-03-22;2,0126;55243
2013-03-25;2,014;54873
2013-03-26;2,0087;55671
2013-03-27;2,0185;56034
2013-03-28;2,0138;56352
2013-04-01;2,0186;56348
2013-04-02;2,0179;54889
2013-04-03;2,0239;54888
2013-04-04;2,0201;54648
2013-04-05;2,0035;55050
2013-04-08;1,9902;55092
2013-04-09;1,9861;55912
2013-04-10;1,981;56189
2013-04-11;1,9736;55400
2013-04-12;1,9761;55398
2013-04-15;1,979;52949
2013-04-16;1,9903;53990
2013-04-17;1,9939;52881
2013-04-18;2,0152;53165
2013-04-19;2,0089;53928
2013-04-22;2,0154;54297
2013-04-23;2,017;54884
2013-04-24;2,0244;54984
2013-04-25;2,0119;54963
2013-04-26;2,0001;54252
2013-04-29;1,9999;54887
2013-04-30;2,0017;55910
2013-05-02;2,0095;55321
2013-05-03;2,0093;55488
2013-05-06;2,0143;55429
2013-05-07;2,011;56274
2013-05-08;2,003;55804
2013-05-09;2,0051;55447
2013-05-10;2,0231;55107
2013-05-13;2,015;54447
2013-05-14;2,0063;54666
2013-05-15;2,0233;54936
2013-05-16;2,0254;54772
2013-05-17;2,0354;55164
2013-05-20;2,0333;55700
2013-05-21;2,0402;56265
2013-05-22;2,0387;56429
2013-05-23;2,0537;56349
2013-05-24;2,0495;56406
2013-05-27;2,0527;56395
2013-05-28;2,0616;56036
2013-05-29;2,0894;54634
2013-05-31;2,1319;53506
2013-06-03;2,1355;53944
2013-06-04;2,1282;54018
2013-06-05;2,1235;52799
2013-06-06;2,125;52845
2013-06-07;2,1372;51619
2013-06-10;2,1506;51316
2013-06-11;2,1521;49769
2013-06-12;2,142;49180
2013-06-13;2,1447;50414
2013-06-14;2,1367;49332
2013-06-17;2,1538;49088
2013-06-18;2,1706;49464
2013-06-19;2,1744;47893
2013-06-20;2,2523;48214
2013-06-21;2,2648;47056
2013-06-24;2,2515;45965
2013-06-25;2,2185;46893
2013-06-26;2,1975;47171
2013-06-27;2,1846;47609
2013-06-28;2,2156;47457
2013-07-01;2,2297;47229
2013-07-02;2,2412;45228
2013-07-03;2,2634;45044
2013-07-04;2,2595;45763
2013-07-05;2,2645;45210
2013-07-08;2,2583;45075
2013-07-09;2,2628;NA
2013-07-10;2,2697;45483
2013-07-11;2,2672;46626
2013-07-12;2,267;45533
2013-07-15;2,2548;46738
2013-07-16;2,2353;46869
2013-07-17;2,2372;47407
2013-07-18;2,2297;47656
2013-07-19;2,2364;47400
2013-07-22;2,2386;48574
2013-07-23;2,2267;48819
2013-07-24;2,2348;48374
2013-07-25;2,2497;49066
2013-07-26;2,2488;49422
2013-07-29;2,2609;49212
2013-07-30;2,2734;48561
2013-07-31;2,2903;48234
2013-08-01;2,2914;49140
2013-08-02;2,2933;48474
2013-08-05;2,301;48436
2013-08-06;2,2955;47421
2013-08-07;2,3028;47447
2013-08-08;2,2882;48928
2013-08-09;2,2748;49874
2013-08-12;2,2722;50299
2013-08-13;2,3035;50600
2013-08-14;2,3118;50895
2013-08-15;2,3434;50908
2013-08-16;2,3565;51538
2013-08-19;2,398;51574
2013-08-20;2,3943;50507
2013-08-21;2,4169;50405
2013-08-22;2,4457;51397
2013-08-23;2,3868;52197
2013-08-26;2,3705;51429
2013-08-27;2,3998;50091
2013-08-28;2,3515;49866
2013-08-29;2,3578;49921
2013-08-30;2,3725;50011
2013-09-02;2,3643;51835
2013-09-03;2,3897;51625
2013-09-04;2,3538;51716
2013-09-05;2,3314;52351
2013-09-06;2,2979;53749
2013-09-09;2,2868;54251
2013-09-10;2,2779;53979
2013-09-11;2,2947;53570
2013-09-12;2,2769;53307
2013-09-13;2,2785;53797
2013-09-16;2,2649;53821
2013-09-17;2,2617;54271
2013-09-18;2,2489;55702
2013-09-19;2,2036;55095
2013-09-20;2,2053;54110
2013-09-23;2,2033;54602
